BillId,ClientId,Cost,Bpercent,Bpay,type
1,1,85,0.25,21.25,c
2,2,150,0.25,37.50,c
3,3,150,0.25,37.50,c
4,4,125,0.25,31.25,c
5,5,125,0.25,31.25,c
6,6,300,0.25,75.00,c
7,7,95,0.25,23.75,c
8,8,35,0.25,8.75,c
9,9,85,0.25,21.25,c
10,10,75,0.25,18.75,c
11,11,80,0.25,20.00,c
12,12,100,0.25,25.00,c
13,13,75,0.25,18.75,c
14,14,90,0.25,22.50,c
15,15,100,0.25,25.00,c
16,16,100,0.25,25.00,c
17,17,100,0.25,25.00,c
18,18,80,0.25,20.00,c
19,19,95,0.25,23.75,c
20,20,95,0.25,23.75,c
21,21,100,0.25,25.00,c
22,22,150,0.25,37.50,c
23,23,120,0.25,30.00,c
24,24,120,0.25,30.00,c
25,25,125,0.25,31.25,c
26,26,80,0.25,20.00,c
27,27,75,0.25,18.75,c
28,28,180,0.25,45.00,c
29,29,125,0.25,31.25,c
30,30,60,0.25,15.00,c
31,31,75,0.25,18.75,c
32,32,100,0.25,25.00,c
33,33,100,0.25,25.00,c
34,34,100,0.25,25.00,c
35,35,120,0.25,30.00,c
36,36,100,0.25,25.00,c
37,37,100,0.25,25.00,c
38,38,100,0.25,25.00,c
39,39,120,0.25,30.00,c
40,40,100,0.25,25.00,c
41,41,75,0.25,18.75,c
42,42,85,0.25,21.25,c
43,43,100,0.25,25.00,c
44,44,120,0.25,30.00,c
45,45,125,0.25,31.25,c
46,46,50,0.25,12.50,c
47,47,75,0.25,18.75,c
48,48,120,0.25,30.00,c
49,49,115,0.25,28.75,c
50,50,100,0.25,25.00,c
51,51,85,0.25,21.25,c
52,52,120,0.25,30.00,c
53,53,120,0.25,30.00,c
54,54,100,0.25,25.00,c
55,55,120,0.25,30.00,c
56,56,120,0.25,30.00,c
57,57,75,0.25,18.75,c
58,58,150,0.25,37.50,c
59,59,100,0.25,25.00,c
60,60,125,0.25,31.25,c
61,61,120,0.25,30.00,c
62,62,100,0.25,25.00,c
63,63,100,0.25,25.00,c
64,64,150,0.25,37.50,c
65,65,100,0.25,25.00,c
66,66,120,0.25,30.00,c
67,67,75,0.25,18.75,c
68,68,125,0.25,31.25,c
69,69,120,0.25,30.00,c
